,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1684831415.3671405,12359.0,17411.526,25660.0,5120.324,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 1.0, 'root--jaeger': 1.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0819672131147542, 'root--mongodb-profile': 1.0491803278688525, 'root--mongodb-rate': 1.0491803278688525, 'root--mongodb-recommendation': 1.0327868852459017, 'root--mongodb-reservation': 1.0327868852459017, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684831415.3671405,1684831445.9324374
1684831445.9336164,12806.0,17076.528,25510.0,5021.095,"{'root--consul': 1.9166666666666667, 'root--frontend': 1.8333333333333333, 'root--geo': 1.7166666666666666, 'root--jaeger': 2.433333333333333, 'root--memcached-profile': 1.3333333333333333, 'root--memcached-rate': 1.2666666666666666, 'root--memcached-reserve': 1.1833333333333333, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.1, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0166666666666666, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.15, 'root--reservation': 1.0666666666666667, 'root--search': 1.0, 'root--user': 1.0}",1684831445.9336164,1684831476.0165622
1684831476.1186748,13768.0,16972.006,25310.0,5064.858,"{'root--consul': 2.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 3.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 2.0, 'root--memcached-reserve': 2.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0333333333333334, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.05, 'root--mongodb-user': 1.0, 'root--profile': 1.9833333333333334, 'root--rate': 1.9, 'root--recommendation': 2.7333333333333334, 'root--reservation': 2.0, 'root--search': 1.8166666666666667, 'root--user': 1.65}",1684831476.1186748,1684831506.1802628
1684831506.1814897,13724.0,16984.127,25360.0,4894.286,"{'root--consul': 2.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 3.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 2.0, 'root--memcached-reserve': 2.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0491803278688525, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0327868852459017, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 3.0, 'root--reservation': 2.0, 'root--search': 2.0, 'root--user': 2.0}",1684831506.1814897,1684831536.7392395
1684831536.74055,13793.0,17464.452,25150.0,4751.511,"{'root--consul': 1.05, 'root--frontend': 1.1, 'root--geo': 1.1, 'root--jaeger': 1.4666666666666666, 'root--memcached-profile': 1.2666666666666666, 'root--memcached-rate': 1.45, 'root--memcached-reserve': 1.6666666666666667, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 1.35, 'root--rate': 1.5333333333333334, 'root--recommendation': 2.2666666666666666, 'root--reservation': 1.7166666666666666, 'root--search': 1.8, 'root--user': 1.9}",1684831536.74055,1684831566.8318512
1684831566.8331585,12119.0,17338.339,25790.0,4926.727,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 1.0, 'root--jaeger': 1.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684831566.8331585,1684831596.896637
1684831596.8980546,12630.0,17235.45,25610.0,4862.648,"{'root--consul': 1.7868852459016393, 'root--frontend': 1.0, 'root--geo': 1.0, 'root--jaeger': 1.4262295081967213, 'root--memcached-profile': 1.360655737704918, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.360655737704918, 'root--mongodb-geo': 1.0491803278688525, 'root--mongodb-profile': 1.0491803278688525, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.2459016393442623, 'root--mongodb-reservation': 1.1639344262295082, 'root--mongodb-user': 1.1967213114754098, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684831596.8980546,1684831627.4579642
1684831627.4589546,13045.0,17206.675,25440.0,4855.632,"{'root--consul': 3.0, 'root--frontend': 1.8852459016393444, 'root--geo': 1.9672131147540983, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.8524590163934427, 'root--memcached-reserve': 2.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0655737704918034, 'root--mongodb-rate': 1.0327868852459017, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0327868852459017, 'root--mongodb-user': 1.0655737704918034, 'root--profile': 1.7868852459016393, 'root--rate': 1.4426229508196722, 'root--recommendation': 1.5081967213114753, 'root--reservation': 1.6229508196721312, 'root--search': 1.7049180327868851, 'root--user': 1.5901639344262295}",1684831627.4589546,1684831658.0214043
1684831658.0226557,31724.0,10824.749,23640.0,4851.614,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 2.0, 'root--memcached-reserve': 2.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0166666666666666, 'root--mongodb-user': 1.0166666666666666, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 2.0, 'root--search': 2.0, 'root--user': 2.0}",1684831658.0226557,1684831688.113253
1684831688.1144774,30102.0,10887.388,23900.0,5225.344,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 2.0, 'root--memcached-reserve': 2.0, 'root--mongodb-geo': 1.05, 'root--mongodb-profile': 1.05, 'root--mongodb-rate': 1.0333333333333334, 'root--mongodb-recommendation': 1.0833333333333333, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 2.0, 'root--search': 2.0, 'root--user': 2.0}",1684831688.1144774,1684831718.1911275
