,load,alloc,reward,sigma,event_start_time,event_end_time
1684855799.6363122,19.145530700683594,1.0,0.1358024626970291,0.5,1684855799.6363122,1684855813.529894
1684855814.020338,19.973480224609375,1.0,0.125,0.5,1684855814.020338,1684855827.237865
1684855827.6347077,18.753311157226562,1.0,0.12328767031431198,0.5,1684855827.6347077,1684855840.0058563
1684855840.2977371,17.98181915283203,1.0,0.18390804529190063,0.5,1684855840.2977371,1684855854.2562797
1684855854.5724692,20.199098587036133,1.0,0.13698630034923553,0.5,1684855854.5724692,1684855867.8898952
1684855868.0709338,20.035734176635742,1.0,0.19767442345619202,0.5,1684855868.0709338,1684855879.8498888
1684855880.1886501,19.956222534179688,1.0,0.10958904027938843,0.5,1684855880.1886501,1684855894.4699106
1684855894.597389,18.738161087036133,1.0,0.19540229439735413,0.5,1684855894.597389,1684855908.04588
1684855908.4853354,18.240863800048828,1.0,0.1882352977991104,0.5,1684855908.4853354,1684855921.861895
1684855922.0990698,19.8328800201416,1.0,0.13750000298023224,0.5,1684855922.0990698,1684855936.3178823
1684855936.859441,18.79880714416504,1.0,0.19780220091342926,0.5,1684855936.859441,1684855950.5305219
1684855950.7304525,17.158828735351562,1.0,0.130952388048172,0.5,1684855950.7304525,1684855965.6498866
1684855965.971054,18.820035934448242,1.0,0.18888889253139496,0.5,1684855965.971054,1684855981.2738945
1684855981.728639,20.914525985717773,1.0,0.18681319057941437,0.5,1684855981.728639,1684855994.3036313
1684855994.674216,20.396255493164062,1.0,0.1111111119389534,0.5,1684855994.674216,1684856009.5298843
1684856009.840968,19.951574325561523,1.0,0.1204819306731224,0.5,1684856009.840968,1684856022.621914
1684856022.7805188,18.76972007751465,1.0,0.19354838132858276,0.5,1684856022.7805188,1684856036.6858945
1684856037.009412,19.717073440551758,1.0,0.2023809552192688,0.5,1684856037.009412,1684856052.7825446
1684856053.2548165,19.007625579833984,1.0,0.15189872682094574,0.5,1684856053.2548165,1684856066.6178746
