,load,alloc,reward,sigma,event_start_time,event_end_time
1684855812.8460429,48.624332427978516,1.0,0.2023809552192688,0.5,1684855812.8460429,1684855827.571181
1684855827.8807843,44.964073181152344,1.0,0.20224718749523163,0.5,1684855827.8807843,1684855842.0698898
1684855842.2545822,38.39000701904297,1.0,0.20930232107639313,0.5,1684855842.2545822,1684855855.2788043
1684855855.6285324,43.71516036987305,1.0,0.1875,0.5,1684855855.6285324,1684855869.5138752
1684855869.8877811,39.93693161010742,1.0,0.18681319057941437,0.5,1684855869.8877811,1684855883.9098895
1684855884.150874,36.2119255065918,1.0,0.10465116053819656,0.5,1684855884.150874,1684855897.930865
1684855898.1566749,40.80101776123047,1.0,0.12643678486347198,0.5,1684855898.1566749,1684855914.2101963
1684855914.4083211,39.40641784667969,1.0,0.1315789520740509,0.5,1684855914.4083211,1684855927.731024
1684855928.1257784,41.64210510253906,1.0,0.18987341225147247,0.5,1684855928.1257784,1684855941.8858895
1684855942.1808941,39.376651763916016,1.0,0.20454545319080353,0.5,1684855942.1808941,1684855955.691439
1684855955.9454432,35.92469024658203,1.0,0.12790697813034058,0.5,1684855955.9454432,1684855969.167548
1684855969.7241302,43.650054931640625,1.0,0.19354838132858276,0.5,1684855969.7241302,1684855984.6152916
1684855984.8803673,42.98249816894531,1.0,0.12162162363529205,0.5,1684855984.8803673,1684855999.3979046
1684855999.655997,41.7103271484375,1.0,0.20481927692890167,0.5,1684855999.655997,1684856013.489502
1684856013.779018,39.0062255859375,1.0,0.12820513546466827,0.5,1684856013.779018,1684856027.6229625
1684856027.8302994,36.47587203979492,1.0,0.20930232107639313,0.5,1684856027.8302994,1684856038.1384838
1684856038.392777,43.2590446472168,1.0,0.1388888955116272,0.5,1684856038.392777,1684856050.7138999
1684856050.8895495,40.53556823730469,1.0,0.11999999731779099,0.5,1684856050.8895495,1684856064.1618445
1684856064.4381468,35.936180114746094,1.0,0.1764705926179886,0.5,1684856064.4381468,1684856076.1811874
1684856076.4271529,36.3272819519043,1.0,0.1764705926179886,0.5,1684856076.4271529,1684856087.6859086
1684856087.8853354,40.27474594116211,1.0,0.11538461595773697,0.5,1684856087.8853354,1684856101.1194353
1684856101.4123309,43.08682632446289,1.0,0.17499999701976776,0.5,1684856101.4123309,1684856114.734268
1684856115.139266,42.37732696533203,1.0,0.1860465109348297,0.5,1684856115.139266,1684856128.3538792
1684856128.7644506,42.67399597167969,1.0,0.1666666716337204,0.5,1684856128.7644506,1684856143.9259083
1684856144.1886685,39.51831817626953,1.0,0.1764705926179886,0.5,1684856144.1886685,1684856158.4099221
1684856158.7441978,39.861572265625,1.0,0.2023809552192688,0.5,1684856158.7441978,1684856172.8179033
1684856172.9317164,40.6728515625,1.0,0.1882352977991104,0.5,1684856172.9317164,1684856187.732744
1684856187.9256165,38.22562789916992,1.0,0.1325301229953766,0.5,1684856187.9256165,1684856199.3838975
1684856199.801708,38.24321746826172,1.0,0.19148936867713928,0.5,1684856199.801708,1684856212.5098443
1684856212.661619,37.50129318237305,1.0,0.11627907305955887,0.5,1684856212.661619,1684856226.6878016
1684856227.027665,39.15015411376953,1.0,0.20000000298023224,0.5,1684856227.027665,1684856240.8717988
1684856241.176206,40.62824249267578,1.0,0.13750000298023224,0.5,1684856241.176206,1684856254.6397471
1684856254.9639661,37.5753059387207,1.0,0.19148936867713928,0.5,1684856254.9639661,1684856269.2818804
1684856269.8421144,37.14853286743164,1.0,0.1190476194024086,0.5,1684856269.8421144,1684856284.5398686
1684856284.77047,39.57557678222656,1.0,0.18681319057941437,0.5,1684856284.77047,1684856298.9458795
1684856299.1326725,41.782447814941406,1.0,0.12195122241973877,0.5,1684856299.1326725,1684856313.0858996
