,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1684763123.751295,89324.0,0.125,0.537,0.153,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.8333333333333334, 'root--memcached-reserve': 1.4166666666666667, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.48333333333333334}",1684763123.751295,1684763153.788493
1684763153.7889876,89323.0,0.122,0.444,0.191,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763153.7889876,1684763183.8376858
1684763183.8382072,89325.0,0.116,0.399,0.075,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763183.8382072,1684763213.8698876
1684763213.8702943,89330.0,0.121,0.431,0.165,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763213.8702943,1684763243.9105635
1684763243.9110575,89324.0,0.117,0.425,0.086,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763243.9110575,1684763273.9437492
1684763273.9442542,66398.0,0.119,0.443,0.099,"{'root--consul': 0.0, 'root--frontend': 0.7213114754098361, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.7213114754098361, 'root--mongodb-geo': 0.7213114754098361, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 0.8032786885245902, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763273.9442542,1684763304.4866948
1684763560.0755262,89325.0,0.118,0.408,0.096,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763560.0755262,1684763590.6000998
1684763590.600597,89330.0,0.119,0.419,0.11,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763590.600597,1684763620.640313
1684763620.6407986,89328.0,0.119,0.432,0.113,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763620.6407986,1684763650.6746752
1684763650.675169,89326.0,0.117,0.407,0.088,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763650.675169,1684763680.7081158
1684763680.70862,89328.0,0.121,0.431,0.169,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763680.70862,1684763710.7459466
1684763710.7464337,89325.0,0.116,0.403,0.077,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763710.7464337,1684763740.770108
1684763740.7707996,89328.0,0.117,0.401,0.078,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763740.7707996,1684763770.8136494
1684763770.8146973,89329.0,0.118,0.424,0.093,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763770.8146973,1684763800.8417025
1684763800.8421938,89326.0,0.119,0.426,0.105,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763800.8421938,1684763830.8694065
1684763830.869917,89329.0,0.121,0.432,0.151,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763830.869917,1684763860.9172544
1684763860.917741,89325.0,0.118,0.419,0.109,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763860.917741,1684763890.9613357
1684763890.9618433,89329.0,0.118,0.425,0.111,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763890.9618433,1684763920.998941
