,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1684725500.1088188,89330.0,0.116,0.412,0.086,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.16666666666666666, 'root--memcached-rate': 0.16666666666666666, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 0.55, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 0.5833333333333334, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.55, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.5166666666666667, 'root--reservation': 0.25, 'root--search': 0.0, 'root--user': 0.2}",1684725500.1088188,1684725530.152896
1684725530.1533933,89328.0,0.116,0.426,0.087,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.03333333333333333, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 1.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.5166666666666667, 'root--search': 0.0, 'root--user': 0.0}",1684725530.1533933,1684725560.1934214
1684725560.19389,89327.0,0.115,0.409,0.081,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 1.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.06666666666666667, 'root--reservation': 0.2, 'root--search': 0.0, 'root--user': 0.0}",1684725560.19389,1684725590.2332888
1684725590.2337964,89328.0,0.118,0.427,0.141,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.03333333333333333, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 1.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.38333333333333336, 'root--search': 0.0, 'root--user': 0.0}",1684725590.2337964,1684725620.2654881
1684725620.2659109,89330.0,0.116,0.421,0.09,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 1.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.03333333333333333, 'root--reservation': 0.1, 'root--search': 0.0, 'root--user': 0.0}",1684725620.2659109,1684725650.3088477
1684725650.3093212,43753.0,0.129,0.529,0.338,"{'root--consul': 0.0, 'root--frontend': 0.4918032786885246, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.5245901639344263, 'root--mongodb-rate': 0.26229508196721313, 'root--mongodb-recommendation': 0.5245901639344263, 'root--mongodb-reservation': 0.29508196721311475, 'root--mongodb-user': 1.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.06557377049180328, 'root--search': 0.0, 'root--user': 0.0}",1684725650.3093212,1684725680.8507326
1684726037.5833464,89327.0,0.115,0.403,0.085,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 0.5833333333333334, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.1}",1684726037.5833464,1684726067.6301389
1684726067.630642,89326.0,0.172,0.774,0.189,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.5166666666666667, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.18333333333333332, 'root--user': 0.36666666666666664}",1684726067.630642,1684726097.6664135
1684726097.6669197,89331.0,0.293,0.99,0.228,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 1.0, 'root--user': 0.5166666666666667}",1684726097.6669197,1684726127.6975818
1684726127.6980953,51560.0,0.297,1.01,0.242,"{'root--consul': 1.0, 'root--frontend': 0.5737704918032787, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 0.5737704918032787, 'root--mongodb-geo': 0.5737704918032787, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.22950819672131148, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 1.0, 'root--user': 0.0}",1684726127.6980953,1684726158.2284255
