,load,alloc,reward,sigma,event_start_time,event_end_time
1684858253.0766544,42.49354553222656,2.0,0.11999999731779099,0.5,1684858253.0766544,1684858265.8785982
1684858266.184796,37.39634323120117,2.0,0.1111111119389534,0.5,1684858266.184796,1684858277.8704305
1684858278.2089932,35.849822998046875,2.0,0.1734693944454193,0.5,1684858278.2089932,1684858292.016593
1684858292.4615285,39.924949645996094,2.0,0.19230769574642181,0.5,1684858292.4615285,1684858305.78653
1684858306.1189353,43.21312713623047,2.0,0.1041666641831398,0.5,1684858306.1189353,1684858320.4664273
1684858320.7881472,42.25273895263672,2.0,0.16161616146564484,0.5,1684858320.7881472,1684858334.8464074
1684858335.4844823,42.78200149536133,2.0,0.19801980257034302,0.5,1684858335.4844823,1684858350.6544127
1684858350.8951519,39.642417907714844,2.0,0.11827956885099411,0.5,1684858350.8951519,1684858364.4664736
1684858364.7026465,40.868011474609375,2.0,0.1195652186870575,0.5,1684858364.7026465,1684858379.0904272
1684858379.5426874,40.334293365478516,2.0,0.12244898080825806,0.5,1684858379.5426874,1684858393.922511
1684858394.484275,39.541751861572266,2.0,0.20560747385025024,0.5,1684858394.484275,1684858407.9384081
1684858408.3083525,38.55070877075195,2.0,0.10309278219938278,0.5,1684858408.3083525,1684858422.0824184
1684858422.5072384,38.01797103881836,2.0,0.08510638028383255,0.5,1684858422.5072384,1684858436.6584413
1684858436.8769038,39.57968521118164,2.0,0.1666666716337204,0.5,1684858436.8769038,1684858450.722391
1684858450.9346423,39.860572814941406,2.0,0.125,0.5,1684858450.9346423,1684858464.8832626
1684858465.2588036,37.24728775024414,2.0,0.18627451360225677,0.5,1684858465.2588036,1684858478.7899904
1684858479.08581,36.640872955322266,2.0,0.18269230425357819,0.5,1684858479.08581,1684858492.7863572
1684858493.147487,39.694496154785156,2.0,0.09090909361839294,0.5,1684858493.147487,1684858507.154467
1684858507.443934,42.19235610961914,2.0,0.12765957415103912,0.5,1684858507.443934,1684858521.8304255
1684858522.067798,39.51314163208008,2.0,0.12087912112474442,0.5,1684858522.067798,1684858535.6329045
1684858535.859349,40.776126861572266,2.0,0.1818181872367859,0.5,1684858535.859349,1684858549.5438273
1684858549.8079007,40.6013298034668,2.0,0.12765957415103912,0.5,1684858549.8079007,1684858563.4035146
1684858563.6514952,39.310359954833984,2.0,0.18269230425357819,0.5,1684858563.6514952,1684858576.9304368
1684858577.6321778,40.953243255615234,2.0,0.18691588938236237,0.5,1684858577.6321778,1684858592.0144334
1684858592.2645652,38.118553161621094,2.0,0.18627451360225677,0.5,1684858592.2645652,1684858606.2472577
1684858606.618381,38.645668029785156,2.0,0.10000000149011612,0.5,1684858606.618381,1684858620.7984962
1684858621.2263937,41.52401351928711,2.0,0.1899999976158142,0.5,1684858621.2263937,1684858634.0864217
1684858634.3957984,36.9776611328125,2.0,0.1599999964237213,0.5,1684858634.3957984,1684858647.8904324
1684858648.2615979,38.73203659057617,2.0,0.1881188154220581,0.5,1684858648.2615979,1684858660.938442
1684858661.2625449,40.337284088134766,2.0,0.1195652186870575,0.5,1684858661.2625449,1684858672.542432
1684858672.8950064,43.77960968017578,2.0,0.19607843458652496,0.5,1684858672.8950064,1684858683.9503813
1684858684.2520428,38.08418273925781,2.0,0.12903225421905518,0.5,1684858684.2520428,1684858697.879747
1684858698.1954336,35.78694152832031,2.0,0.1899999976158142,0.5,1684858698.1954336,1684858711.859635
1684858712.1128511,39.00330352783203,2.0,0.1304347813129425,0.5,1684858712.1128511,1684858726.3424146
1684858726.6629374,36.67781448364258,2.0,0.18627451360225677,0.5,1684858726.6629374,1684858740.3224206
1684858740.611832,41.85862731933594,2.0,0.18367347121238708,0.5,1684858740.611832,1684858754.802455
1684858755.1407807,41.1460075378418,2.0,0.19801980257034302,0.5,1684858755.1407807,1684858769.3584425
1684858769.5537848,38.45880889892578,2.0,0.12765957415103912,0.5,1684858769.5537848,1684858782.2166836
1684858782.490433,38.51143264770508,2.0,0.1734693944454193,0.5,1684858782.490433,1684858796.3824122
1684858796.589173,40.97883605957031,2.0,0.1195652186870575,0.5,1684858796.589173,1684858810.7184176
1684858810.995119,36.809078216552734,2.0,0.17171716690063477,0.5,1684858810.995119,1684858825.0405667
1684858825.2815206,39.532554626464844,2.0,0.10000000149011612,0.5,1684858825.2815206,1684858839.9023814
1684858840.1701107,39.284934997558594,2.0,0.1881188154220581,0.5,1684858840.1701107,1684858854.3231187
1684858854.6628573,41.680030822753906,2.0,0.12087912112474442,0.5,1684858854.6628573,1684858868.5064168
1684858868.8565054,40.4327507019043,2.0,0.1881188154220581,0.5,1684858868.8565054,1684858881.3958457
1684858881.737612,41.30714416503906,2.0,0.1734693944454193,0.5,1684858881.737612,1684858895.4398425
1684858895.6455512,41.60606384277344,2.0,0.1734693944454193,0.5,1684858895.6455512,1684858909.7781067
1684858910.0563688,39.11873245239258,2.0,0.13684210181236267,0.5,1684858910.0563688,1684858923.272544
1684858923.5175614,38.74631118774414,2.0,0.13861386477947235,0.5,1684858923.5175614,1684858937.8156962
1684858938.1066604,37.58777618408203,2.0,0.15841583907604218,0.5,1684858938.1066604,1684858952.3666148
1684858952.6235774,38.670955657958984,2.0,0.10112359374761581,0.5,1684858952.6235774,1684858966.794419
1684858967.035426,39.41753005981445,2.0,0.1734693944454193,0.5,1684858967.035426,1684858980.354373
1684858980.703767,37.454872131347656,2.0,0.18095238506793976,0.5,1684858980.703767,1684858995.0944176
1684858995.4496806,37.083152770996094,2.0,0.1111111119389534,0.5,1684858995.4496806,1684859009.310422
1684859009.5063097,36.574302673339844,2.0,0.13978494703769684,0.5,1684859009.5063097,1684859023.122427
1684859023.6167946,36.404178619384766,2.0,0.19801980257034302,0.5,1684859023.6167946,1684859037.4064205
1684859037.6193485,41.012306213378906,2.0,0.1734693944454193,0.5,1684859037.6193485,1684859052.0784228
